Spatial_frequency,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20
1.33E+00,7.24E-17,,,,,,,,,,,,,,,,,,,
1.34E+00,6.39E-17,,,,,,,,,,,,,,,,,,,
1.36E+00,7.27E-17,,,,,,,,,,,,,,,,,,,
1.37E+00,3.83E-17,,,,,,,,,,,,,,,,,,,
1.39E+00,7.43E-17,,,,,,,,,,,,,,,,,,,
1.40E+00,5.39E-17,,,,,,,,,,,,,,,,,,,
1.41E+00,7.02E-17,,,,,,,,,,,,,,,,,,,
1.43E+00,2.76E-17,,,,,,,,,,,,,,,,,,,
1.44E+00,8.17E-17,,,,,,,,,,,,,,,,,,,
1.46E+00,5.28E-17,,,,,,,,,,,,,,,,,,,
1.47E+00,5.85E-17,,,,,,,,,,,,,,,,,,,
1.49E+00,7.51E-17,,,,,,,,,,,,,,,,,,,
1.50E+00,7.18E-17,,,,,,,,,,,,,,,,,,,
1.51E+00,1.07E-16,,,,,,,,,,,,,,,,,,,
1.53E+00,5.52E-17,,,,,,,,,,,,,,,,,,,
1.54E+00,9.29E-17,,,,,,,,,,,,,,,,,,,
1.56E+00,5.27E-17,,,,,,,,,,,,,,,,,,,
1.57E+00,6.27E-17,,,,,,,,,,,,,,,,,,,
1.59E+00,3.41E-17,,,,,,,,,,,,,,,,,,,
1.60E+00,1.12E-16,,,,,,,,,,,,,,,,,,,
1.61E+00,4.90E-17,,,,,,,,,,,,,,,,,,,
1.63E+00,8.14E-17,,,,,,,,,,,,,,,,,,,
1.64E+00,5.62E-17,,,,,,,,,,,,,,,,,,,
1.66E+00,5.39E-17,,,,,,,,,,,,,,,,,,,
1.67E+00,1.01E-16,,,,,,,,,,,,,,,,,,,
1.69E+00,8.35E-17,,,,,,,,,,,,,,,,,,,
1.70E+00,7.97E-17,,,,,,,,,,,,,,,,,,,
1.71E+00,1.17E-16,,,,,,,,,,,,,,,,,,,
1.73E+00,1.13E-16,,,,,,,,,,,,,,,,,,,
1.74E+00,8.74E-17,,,,,,,,,,,,,,,,,,,
1.76E+00,9.42E-17,,,,,,,,,,,,,,,,,,,
1.77E+00,7.29E-17,,,,,,,,,,,,,,,,,,,
1.79E+00,6.12E-17,,,,,,,,,,,,,,,,,,,
1.80E+00,2.48E-17,,,,,,,,,,,,,,,,,,,
1.81E+00,7.03E-17,,,,,,,,,,,,,,,,,,,
1.83E+00,5.96E-17,,,,,,,,,,,,,,,,,,,
1.84E+00,2.04E-17,,,,,,,,,,,,,,,,,,,
1.86E+00,4.33E-17,,,,,,,,,,,,,,,,,,,
1.87E+00,8.02E-17,,,,,,,,,,,,,,,,,,,
1.89E+00,9.61E-17,,,,,,,,,,,,,,,,,,,
1.90E+00,7.96E-17,,,,,,,,,,,,,,,,,,,
1.91E+00,5.21E-17,,,,,,,,,,,,,,,,,,,
1.93E+00,6.68E-17,,,,,,,,,,,,,,,,,,,
1.94E+00,4.06E-17,,,,,,,,,,,,,,,,,,,
1.96E+00,9.54E-17,,,,,,,,,,,,,,,,,,,
1.97E+00,7.52E-17,,,,,,,,,,,,,,,,,,,
1.99E+00,1.81E-17,,,,,,,,,,,,,,,,,,,
2.00E+00,5.46E-17,,,,,,,,,,,,,,,,,,,
2.01E+00,6.54E-17,,,,,,,,,,,,,,,,,,,
2.03E+00,4.81E-17,,,,,,,,,,,,,,,,,,,
2.04E+00,9.49E-18,,,,,,,,,,,,,,,,,,,
2.06E+00,4.29E-17,,,,,,,,,,,,,,,,,,,
2.07E+00,5.56E-17,,,,,,,,,,,,,,,,,,,
2.09E+00,2.67E-17,,,,,,,,,,,,,,,,,,,
2.10E+00,6.66E-17,,,,,,,,,,,,,,,,,,,
2.11E+00,9.56E-17,,,,,,,,,,,,,,,,,,,
2.13E+00,7.09E-17,,,,,,,,,,,,,,,,,,,
2.14E+00,8.77E-17,,,,,,,,,,,,,,,,,,,
2.16E+00,8.67E-17,,,,,,,,,,,,,,,,,,,
