Spatial_frequency,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20
5.77E+00,2.23E-17,,,,,,,,,,,,,,,,,,,
5.79E+00,3.15E-17,,,,,,,,,,,,,,,,,,,
5.80E+00,3.11E-17,,,,,,,,,,,,,,,,,,,
5.81E+00,4.13E-17,,,,,,,,,,,,,,,,,,,
5.83E+00,2.28E-17,,,,,,,,,,,,,,,,,,,
5.84E+00,3.35E-17,,,,,,,,,,,,,,,,,,,
5.86E+00,3.28E-17,,,,,,,,,,,,,,,,,,,
5.87E+00,6.10E-17,,,,,,,,,,,,,,,,,,,
5.89E+00,2.22E-17,,,,,,,,,,,,,,,,,,,
5.90E+00,6.02E-17,,,,,,,,,,,,,,,,,,,
5.91E+00,2.53E-17,,,,,,,,,,,,,,,,,,,
5.93E+00,3.02E-17,,,,,,,,,,,,,,,,,,,
5.94E+00,6.23E-17,,,,,,,,,,,,,,,,,,,
5.96E+00,6.40E-17,,,,,,,,,,,,,,,,,,,
5.97E+00,5.57E-17,,,,,,,,,,,,,,,,,,,
5.99E+00,7.32E-17,,,,,,,,,,,,,,,,,,,
6.00E+00,4.82E-17,,,,,,,,,,,,,,,,,,,
6.01E+00,2.21E-17,,,,,,,,,,,,,,,,,,,
6.03E+00,4.11E-17,,,,,,,,,,,,,,,,,,,
6.04E+00,1.03E-16,,,,,,,,,,,,,,,,,,,
6.06E+00,3.76E-17,,,,,,,,,,,,,,,,,,,
6.07E+00,6.10E-17,,,,,,,,,,,,,,,,,,,
6.09E+00,4.83E-17,,,,,,,,,,,,,,,,,,,
6.10E+00,7.72E-17,,,,,,,,,,,,,,,,,,,
6.11E+00,8.38E-17,,,,,,,,,,,,,,,,,,,
6.13E+00,3.28E-17,,,,,,,,,,,,,,,,,,,
6.14E+00,4.00E-17,,,,,,,,,,,,,,,,,,,
6.16E+00,1.39E-17,,,,,,,,,,,,,,,,,,,
6.17E+00,7.24E-17,,,,,,,,,,,,,,,,,,,
6.19E+00,7.50E-17,,,,,,,,,,,,,,,,,,,
6.20E+00,8.51E-17,,,,,,,,,,,,,,,,,,,
6.21E+00,5.23E-17,,,,,,,,,,,,,,,,,,,
6.23E+00,1.17E-16,,,,,,,,,,,,,,,,,,,
6.24E+00,4.03E-17,,,,,,,,,,,,,,,,,,,
6.26E+00,5.35E-17,,,,,,,,,,,,,,,,,,,
6.27E+00,9.60E-17,,,,,,,,,,,,,,,,,,,
6.29E+00,5.75E-18,,,,,,,,,,,,,,,,,,,
6.30E+00,6.40E-17,,,,,,,,,,,,,,,,,,,
6.31E+00,3.10E-17,,,,,,,,,,,,,,,,,,,
6.33E+00,6.74E-17,,,,,,,,,,,,,,,,,,,
6.34E+00,7.12E-17,,,,,,,,,,,,,,,,,,,
6.36E+00,4.14E-17,,,,,,,,,,,,,,,,,,,
6.37E+00,2.23E-17,,,,,,,,,,,,,,,,,,,
6.39E+00,1.04E-16,,,,,,,,,,,,,,,,,,,
6.40E+00,6.86E-17,,,,,,,,,,,,,,,,,,,
6.41E+00,5.09E-17,,,,,,,,,,,,,,,,,,,
6.43E+00,7.51E-17,,,,,,,,,,,,,,,,,,,
6.44E+00,4.92E-17,,,,,,,,,,,,,,,,,,,
6.46E+00,5.98E-17,,,,,,,,,,,,,,,,,,,
6.47E+00,9.49E-17,,,,,,,,,,,,,,,,,,,
6.49E+00,5.55E-17,,,,,,,,,,,,,,,,,,,
6.50E+00,3.02E-17,,,,,,,,,,,,,,,,,,,
6.51E+00,3.42E-17,,,,,,,,,,,,,,,,,,,
6.53E+00,5.00E-17,,,,,,,,,,,,,,,,,,,
6.54E+00,3.94E-17,,,,,,,,,,,,,,,,,,,
6.56E+00,3.49E-17,,,,,,,,,,,,,,,,,,,
6.57E+00,4.36E-17,,,,,,,,,,,,,,,,,,,
6.59E+00,4.09E-17,,,,,,,,,,,,,,,,,,,
6.60E+00,2.86E-17,,,,,,,,,,,,,,,,,,,
6.61E+00,6.53E-17,,,,,,,,,,,,,,,,,,,
6.63E+00,4.68E-18,,,,,,,,,,,,,,,,,,,
6.64E+00,2.50E-17,,,,,,,,,,,,,,,,,,,
6.66E+00,1.64E-17,,,,,,,,,,,,,,,,,,,
6.67E+00,2.04E-17,,,,,,,,,,,,,,,,,,,
6.69E+00,6.01E-17,,,,,,,,,,,,,,,,,,,
6.70E+00,3.40E-17,,,,,,,,,,,,,,,,,,,
6.71E+00,7.56E-17,,,,,,,,,,,,,,,,,,,
6.73E+00,4.06E-17,,,,,,,,,,,,,,,,,,,
6.74E+00,4.34E-17,,,,,,,,,,,,,,,,,,,
6.76E+00,4.47E-17,,,,,,,,,,,,,,,,,,,
6.77E+00,1.94E-17,,,,,,,,,,,,,,,,,,,
6.79E+00,4.00E-17,,,,,,,,,,,,,,,,,,,
6.80E+00,3.03E-17,,,,,,,,,,,,,,,,,,,
6.81E+00,3.05E-17,,,,,,,,,,,,,,,,,,,
6.83E+00,3.72E-17,,,,,,,,,,,,,,,,,,,
6.84E+00,2.57E-17,,,,,,,,,,,,,,,,,,,
6.86E+00,1.14E-17,,,,,,,,,,,,,,,,,,,
6.87E+00,8.93E-18,,,,,,,,,,,,,,,,,,,
6.89E+00,3.17E-17,,,,,,,,,,,,,,,,,,,
6.90E+00,8.78E-17,,,,,,,,,,,,,,,,,,,
6.91E+00,1.09E-17,,,,,,,,,,,,,,,,,,,
6.93E+00,6.02E-17,,,,,,,,,,,,,,,,,,,
6.94E+00,5.63E-17,,,,,,,,,,,,,,,,,,,
6.96E+00,6.58E-17,,,,,,,,,,,,,,,,,,,
6.97E+00,4.77E-17,,,,,,,,,,,,,,,,,,,
6.99E+00,1.08E-17,,,,,,,,,,,,,,,,,,,
7.00E+00,3.44E-17,,,,,,,,,,,,,,,,,,,
7.01E+00,8.77E-17,,,,,,,,,,,,,,,,,,,
7.03E+00,5.44E-17,,,,,,,,,,,,,,,,,,,
7.04E+00,6.96E-17,,,,,,,,,,,,,,,,,,,
7.06E+00,3.90E-17,,,,,,,,,,,,,,,,,,,
7.07E+00,4.26E-17,,,,,,,,,,,,,,,,,,,
7.09E+00,2.47E-17,,,,,,,,,,,,,,,,,,,
7.10E+00,5.58E-17,,,,,,,,,,,,,,,,,,,
7.11E+00,7.12E-17,,,,,,,,,,,,,,,,,,,
7.13E+00,4.52E-17,,,,,,,,,,,,,,,,,,,
7.14E+00,2.72E-17,,,,,,,,,,,,,,,,,,,
7.16E+00,4.00E-17,,,,,,,,,,,,,,,,,,,
7.17E+00,5.22E-17,,,,,,,,,,,,,,,,,,,
7.19E+00,3.69E-17,,,,,,,,,,,,,,,,,,,
7.20E+00,3.58E-17,,,,,,,,,,,,,,,,,,,
7.21E+00,6.82E-17,,,,,,,,,,,,,,,,,,,
7.23E+00,2.04E-17,,,,,,,,,,,,,,,,,,,
7.24E+00,5.53E-17,,,,,,,,,,,,,,,,,,,
7.26E+00,4.87E-18,,,,,,,,,,,,,,,,,,,
7.27E+00,4.83E-17,,,,,,,,,,,,,,,,,,,
7.29E+00,1.02E-17,,,,,,,,,,,,,,,,,,,
7.30E+00,1.34E-17,,,,,,,,,,,,,,,,,,,
7.31E+00,3.32E-17,,,,,,,,,,,,,,,,,,,
7.33E+00,4.36E-17,,,,,,,,,,,,,,,,,,,
7.34E+00,1.70E-17,,,,,,,,,,,,,,,,,,,
7.36E+00,2.00E-17,,,,,,,,,,,,,,,,,,,
7.37E+00,4.74E-17,,,,,,,,,,,,,,,,,,,
7.39E+00,2.58E-18,,,,,,,,,,,,,,,,,,,
7.40E+00,1.71E-17,,,,,,,,,,,,,,,,,,,
7.41E+00,3.99E-17,,,,,,,,,,,,,,,,,,,
7.43E+00,5.47E-17,,,,,,,,,,,,,,,,,,,
7.44E+00,3.27E-17,,,,,,,,,,,,,,,,,,,
7.46E+00,5.75E-17,,,,,,,,,,,,,,,,,,,
7.47E+00,7.57E-17,,,,,,,,,,,,,,,,,,,
7.49E+00,5.62E-17,,,,,,,,,,,,,,,,,,,
7.50E+00,2.56E-17,,,,,,,,,,,,,,,,,,,
7.51E+00,2.37E-17,,,,,,,,,,,,,,,,,,,
7.53E+00,2.50E-17,,,,,,,,,,,,,,,,,,,
7.54E+00,2.54E-17,,,,,,,,,,,,,,,,,,,
7.56E+00,6.67E-18,,,,,,,,,,,,,,,,,,,
7.57E+00,4.15E-17,,,,,,,,,,,,,,,,,,,
7.59E+00,3.26E-17,,,,,,,,,,,,,,,,,,,
7.60E+00,5.86E-17,,,,,,,,,,,,,,,,,,,
7.61E+00,2.66E-17,,,,,,,,,,,,,,,,,,,
7.63E+00,1.11E-17,,,,,,,,,,,,,,,,,,,
7.64E+00,4.17E-17,,,,,,,,,,,,,,,,,,,
7.66E+00,1.43E-17,,,,,,,,,,,,,,,,,,,
7.67E+00,5.25E-18,,,,,,,,,,,,,,,,,,,
7.69E+00,3.99E-17,,,,,,,,,,,,,,,,,,,
7.70E+00,3.44E-17,,,,,,,,,,,,,,,,,,,
7.71E+00,5.30E-17,,,,,,,,,,,,,,,,,,,
7.73E+00,3.21E-17,,,,,,,,,,,,,,,,,,,
7.74E+00,1.74E-17,,,,,,,,,,,,,,,,,,,
7.76E+00,5.70E-17,,,,,,,,,,,,,,,,,,,
7.77E+00,2.13E-17,,,,,,,,,,,,,,,,,,,
7.79E+00,5.34E-17,,,,,,,,,,,,,,,,,,,
7.80E+00,6.95E-17,,,,,,,,,,,,,,,,,,,
7.81E+00,2.93E-17,,,,,,,,,,,,,,,,,,,
7.83E+00,8.32E-18,,,,,,,,,,,,,,,,,,,
7.84E+00,5.21E-17,,,,,,,,,,,,,,,,,,,
7.86E+00,8.78E-18,,,,,,,,,,,,,,,,,,,
7.87E+00,4.63E-17,,,,,,,,,,,,,,,,,,,
7.89E+00,2.70E-17,,,,,,,,,,,,,,,,,,,
7.90E+00,3.79E-17,,,,,,,,,,,,,,,,,,,
7.91E+00,3.49E-17,,,,,,,,,,,,,,,,,,,
7.93E+00,9.24E-18,,,,,,,,,,,,,,,,,,,
7.94E+00,4.13E-17,,,,,,,,,,,,,,,,,,,
7.96E+00,3.88E-17,,,,,,,,,,,,,,,,,,,
7.97E+00,9.48E-18,,,,,,,,,,,,,,,,,,,
7.99E+00,4.72E-17,,,,,,,,,,,,,,,,,,,
8.00E+00,3.03E-17,,,,,,,,,,,,,,,,,,,
8.01E+00,3.46E-17,,,,,,,,,,,,,,,,,,,
8.03E+00,7.32E-17,,,,,,,,,,,,,,,,,,,
8.04E+00,6.10E-17,,,,,,,,,,,,,,,,,,,
8.06E+00,5.58E-17,,,,,,,,,,,,,,,,,,,
8.07E+00,4.71E-17,,,,,,,,,,,,,,,,,,,
8.09E+00,5.75E-17,,,,,,,,,,,,,,,,,,,
8.10E+00,7.58E-17,,,,,,,,,,,,,,,,,,,
8.11E+00,5.84E-17,,,,,,,,,,,,,,,,,,,
8.13E+00,4.90E-17,,,,,,,,,,,,,,,,,,,
8.14E+00,2.95E-17,,,,,,,,,,,,,,,,,,,
8.16E+00,3.86E-17,,,,,,,,,,,,,,,,,,,
8.17E+00,5.98E-17,,,,,,,,,,,,,,,,,,,
8.19E+00,4.18E-17,,,,,,,,,,,,,,,,,,,
8.20E+00,7.84E-17,,,,,,,,,,,,,,,,,,,
8.21E+00,3.83E-17,,,,,,,,,,,,,,,,,,,
8.23E+00,5.92E-17,,,,,,,,,,,,,,,,,,,
8.24E+00,8.27E-17,,,,,,,,,,,,,,,,,,,
8.26E+00,6.92E-17,,,,,,,,,,,,,,,,,,,
8.27E+00,7.67E-17,,,,,,,,,,,,,,,,,,,
8.29E+00,7.32E-17,,,,,,,,,,,,,,,,,,,
8.30E+00,6.45E-17,,,,,,,,,,,,,,,,,,,
8.31E+00,5.23E-17,,,,,,,,,,,,,,,,,,,
8.33E+00,4.02E-17,,,,,,,,,,,,,,,,,,,
8.34E+00,3.50E-17,,,,,,,,,,,,,,,,,,,
8.36E+00,5.95E-17,,,,,,,,,,,,,,,,,,,
8.37E+00,5.11E-17,,,,,,,,,,,,,,,,,,,
8.39E+00,5.45E-17,,,,,,,,,,,,,,,,,,,
8.40E+00,8.85E-17,,,,,,,,,,,,,,,,,,,
8.41E+00,4.79E-17,,,,,,,,,,,,,,,,,,,
8.43E+00,5.80E-17,,,,,,,,,,,,,,,,,,,
8.44E+00,2.53E-17,,,,,,,,,,,,,,,,,,,
8.46E+00,6.11E-17,,,,,,,,,,,,,,,,,,,
8.47E+00,3.39E-17,,,,,,,,,,,,,,,,,,,
8.49E+00,7.32E-17,,,,,,,,,,,,,,,,,,,
8.50E+00,7.59E-17,,,,,,,,,,,,,,,,,,,
8.51E+00,3.04E-17,,,,,,,,,,,,,,,,,,,
8.53E+00,8.11E-17,,,,,,,,,,,,,,,,,,,
8.54E+00,7.35E-17,,,,,,,,,,,,,,,,,,,
8.56E+00,1.10E-16,,,,,,,,,,,,,,,,,,,
8.57E+00,5.35E-17,,,,,,,,,,,,,,,,,,,
8.59E+00,7.00E-17,,,,,,,,,,,,,,,,,,,
8.60E+00,5.12E-17,,,,,,,,,,,,,,,,,,,
8.61E+00,4.87E-17,,,,,,,,,,,,,,,,,,,
8.63E+00,4.02E-17,,,,,,,,,,,,,,,,,,,
8.64E+00,4.07E-17,,,,,,,,,,,,,,,,,,,
8.66E+00,6.98E-17,,,,,,,,,,,,,,,,,,,
8.67E+00,7.05E-17,,,,,,,,,,,,,,,,,,,
8.69E+00,5.87E-17,,,,,,,,,,,,,,,,,,,
8.70E+00,8.84E-17,,,,,,,,,,,,,,,,,,,
8.71E+00,7.62E-17,,,,,,,,,,,,,,,,,,,
8.73E+00,1.09E-16,,,,,,,,,,,,,,,,,,,
8.74E+00,2.56E-17,,,,,,,,,,,,,,,,,,,
8.76E+00,6.20E-17,,,,,,,,,,,,,,,,,,,
8.77E+00,6.56E-17,,,,,,,,,,,,,,,,,,,
8.79E+00,7.00E-17,,,,,,,,,,,,,,,,,,,
8.80E+00,3.18E-17,,,,,,,,,,,,,,,,,,,
8.81E+00,5.55E-17,,,,,,,,,,,,,,,,,,,
8.83E+00,6.57E-17,,,,,,,,,,,,,,,,,,,
8.84E+00,4.67E-17,,,,,,,,,,,,,,,,,,,
8.86E+00,5.66E-17,,,,,,,,,,,,,,,,,,,
8.87E+00,4.29E-17,,,,,,,,,,,,,,,,,,,
8.89E+00,6.41E-17,,,,,,,,,,,,,,,,,,,
8.90E+00,5.34E-17,,,,,,,,,,,,,,,,,,,
8.91E+00,4.87E-17,,,,,,,,,,,,,,,,,,,
8.93E+00,2.38E-17,,,,,,,,,,,,,,,,,,,
8.94E+00,1.49E-17,,,,,,,,,,,,,,,,,,,
8.96E+00,6.59E-17,,,,,,,,,,,,,,,,,,,
8.97E+00,4.22E-17,,,,,,,,,,,,,,,,,,,
8.99E+00,6.64E-17,,,,,,,,,,,,,,,,,,,
9.00E+00,1.13E-16,,,,,,,,,,,,,,,,,,,
9.01E+00,7.11E-17,,,,,,,,,,,,,,,,,,,
9.03E+00,6.02E-17,,,,,,,,,,,,,,,,,,,
9.04E+00,7.39E-17,,,,,,,,,,,,,,,,,,,
9.06E+00,9.08E-17,,,,,,,,,,,,,,,,,,,
9.07E+00,5.38E-17,,,,,,,,,,,,,,,,,,,
9.09E+00,2.84E-17,,,,,,,,,,,,,,,,,,,
9.10E+00,1.19E-16,,,,,,,,,,,,,,,,,,,
9.11E+00,6.53E-17,,,,,,,,,,,,,,,,,,,
9.13E+00,4.52E-17,,,,,,,,,,,,,,,,,,,
9.14E+00,7.46E-17,,,,,,,,,,,,,,,,,,,
9.16E+00,4.76E-17,,,,,,,,,,,,,,,,,,,
9.17E+00,1.03E-16,,,,,,,,,,,,,,,,,,,
9.19E+00,3.65E-17,,,,,,,,,,,,,,,,,,,
9.20E+00,4.61E-17,,,,,,,,,,,,,,,,,,,
9.21E+00,5.49E-17,,,,,,,,,,,,,,,,,,,
9.23E+00,3.77E-17,,,,,,,,,,,,,,,,,,,
9.24E+00,3.04E-17,,,,,,,,,,,,,,,,,,,
9.26E+00,4.37E-17,,,,,,,,,,,,,,,,,,,
9.27E+00,5.68E-17,,,,,,,,,,,,,,,,,,,
9.29E+00,5.82E-17,,,,,,,,,,,,,,,,,,,
9.30E+00,5.34E-17,,,,,,,,,,,,,,,,,,,
9.31E+00,1.13E-16,,,,,,,,,,,,,,,,,,,
9.33E+00,7.24E-17,,,,,,,,,,,,,,,,,,,
9.34E+00,6.83E-17,,,,,,,,,,,,,,,,,,,
9.36E+00,1.65E-17,,,,,,,,,,,,,,,,,,,
9.37E+00,8.38E-17,,,,,,,,,,,,,,,,,,,
9.39E+00,9.73E-17,,,,,,,,,,,,,,,,,,,
9.40E+00,1.61E-17,,,,,,,,,,,,,,,,,,,
9.41E+00,8.57E-17,,,,,,,,,,,,,,,,,,,
9.43E+00,0.00E+00,,,,,,,,,,,,,,,,,,,
9.44E+00,8.54E-17,,,,,,,,,,,,,,,,,,,
9.46E+00,3.00E-17,,,,,,,,,,,,,,,,,,,
9.47E+00,1.08E-16,,,,,,,,,,,,,,,,,,,
9.49E+00,7.82E-17,,,,,,,,,,,,,,,,,,,
9.50E+00,1.65E-17,,,,,,,,,,,,,,,,,,,
9.51E+00,6.56E-17,,,,,,,,,,,,,,,,,,,
9.53E+00,1.06E-16,,,,,,,,,,,,,,,,,,,
9.54E+00,1.45E-16,,,,,,,,,,,,,,,,,,,
9.56E+00,1.09E-16,,,,,,,,,,,,,,,,,,,
9.57E+00,7.66E-17,,,,,,,,,,,,,,,,,,,
9.59E+00,8.92E-17,,,,,,,,,,,,,,,,,,,
9.60E+00,7.67E-17,,,,,,,,,,,,,,,,,,,
9.61E+00,3.51E-17,,,,,,,,,,,,,,,,,,,
9.63E+00,3.02E-17,,,,,,,,,,,,,,,,,,,
9.64E+00,9.24E-17,,,,,,,,,,,,,,,,,,,
9.66E+00,2.06E-17,,,,,,,,,,,,,,,,,,,
9.67E+00,4.08E-17,,,,,,,,,,,,,,,,,,,
9.69E+00,1.08E-16,,,,,,,,,,,,,,,,,,,
9.70E+00,1.32E-17,,,,,,,,,,,,,,,,,,,
9.71E+00,2.59E-17,,,,,,,,,,,,,,,,,,,
9.73E+00,7.21E-17,,,,,,,,,,,,,,,,,,,
9.74E+00,4.99E-17,,,,,,,,,,,,,,,,,,,
9.76E+00,7.50E-17,,,,,,,,,,,,,,,,,,,
9.77E+00,6.12E-17,,,,,,,,,,,,,,,,,,,
9.79E+00,4.09E-17,,,,,,,,,,,,,,,,,,,
9.80E+00,6.72E-17,,,,,,,,,,,,,,,,,,,
9.81E+00,7.16E-17,,,,,,,,,,,,,,,,,,,
9.83E+00,1.28E-17,,,,,,,,,,,,,,,,,,,
9.84E+00,2.73E-18,,,,,,,,,,,,,,,,,,,
9.86E+00,2.96E-17,,,,,,,,,,,,,,,,,,,
9.87E+00,5.20E-17,,,,,,,,,,,,,,,,,,,
9.89E+00,2.39E-17,,,,,,,,,,,,,,,,,,,
9.90E+00,7.34E-18,,,,,,,,,,,,,,,,,,,
9.91E+00,2.44E-17,,,,,,,,,,,,,,,,,,,
9.93E+00,2.21E-17,,,,,,,,,,,,,,,,,,,
9.94E+00,1.81E-17,,,,,,,,,,,,,,,,,,,
9.96E+00,3.64E-17,,,,,,,,,,,,,,,,,,,
9.97E+00,8.70E-17,,,,,,,,,,,,,,,,,,,
9.99E+00,3.52E-17,,,,,,,,,,,,,,,,,,,
1.00E+01,6.63E-17,,,,,,,,,,,,,,,,,,,
1.00E+01,5.58E-17,,,,,,,,,,,,,,,,,,,
1.00E+01,4.55E-17,,,,,,,,,,,,,,,,,,,
1.00E+01,5.35E-17,,,,,,,,,,,,,,,,,,,
1.01E+01,3.02E-17,,,,,,,,,,,,,,,,,,,
1.01E+01,6.70E-17,,,,,,,,,,,,,,,,,,,
1.01E+01,7.62E-17,,,,,,,,,,,,,,,,,,,
1.01E+01,4.29E-17,,,,,,,,,,,,,,,,,,,
1.01E+01,1.66E-17,,,,,,,,,,,,,,,,,,,
1.01E+01,6.13E-17,,,,,,,,,,,,,,,,,,,
1.01E+01,6.66E-17,,,,,,,,,,,,,,,,,,,
1.02E+01,4.06E-17,,,,,,,,,,,,,,,,,,,
1.02E+01,1.55E-17,,,,,,,,,,,,,,,,,,,
1.02E+01,4.42E-17,,,,,,,,,,,,,,,,,,,
1.02E+01,2.93E-17,,,,,,,,,,,,,,,,,,,
1.02E+01,4.15E-17,,,,,,,,,,,,,,,,,,,
1.02E+01,2.60E-17,,,,,,,,,,,,,,,,,,,
1.02E+01,1.60E-17,,,,,,,,,,,,,,,,,,,
1.03E+01,1.64E-17,,,,,,,,,,,,,,,,,,,
1.03E+01,1.83E-17,,,,,,,,,,,,,,,,,,,
1.03E+01,1.82E-17,,,,,,,,,,,,,,,,,,,
1.03E+01,5.09E-17,,,,,,,,,,,,,,,,,,,
1.03E+01,6.41E-17,,,,,,,,,,,,,,,,,,,
1.03E+01,6.74E-17,,,,,,,,,,,,,,,,,,,
1.03E+01,5.97E-17,,,,,,,,,,,,,,,,,,,
1.04E+01,3.86E-17,,,,,,,,,,,,,,,,,,,
1.04E+01,5.24E-17,,,,,,,,,,,,,,,,,,,
1.04E+01,3.80E-17,,,,,,,,,,,,,,,,,,,
1.04E+01,4.52E-17,,,,,,,,,,,,,,,,,,,
1.04E+01,4.74E-17,,,,,,,,,,,,,,,,,,,
1.04E+01,4.48E-17,,,,,,,,,,,,,,,,,,,
1.04E+01,1.36E-17,,,,,,,,,,,,,,,,,,,
1.05E+01,2.03E-17,,,,,,,,,,,,,,,,,,,
1.05E+01,4.25E-17,,,,,,,,,,,,,,,,,,,
1.05E+01,3.08E-17,,,,,,,,,,,,,,,,,,,
1.05E+01,1.77E-17,,,,,,,,,,,,,,,,,,,
1.05E+01,4.17E-17,,,,,,,,,,,,,,,,,,,
1.05E+01,2.21E-17,,,,,,,,,,,,,,,,,,,
1.05E+01,2.87E-17,,,,,,,,,,,,,,,,,,,
1.06E+01,2.15E-17,,,,,,,,,,,,,,,,,,,
1.06E+01,7.20E-17,,,,,,,,,,,,,,,,,,,
1.06E+01,6.30E-17,,,,,,,,,,,,,,,,,,,
1.06E+01,2.38E-17,,,,,,,,,,,,,,,,,,,
1.06E+01,5.98E-17,,,,,,,,,,,,,,,,,,,
1.06E+01,4.68E-17,,,,,,,,,,,,,,,,,,,
1.06E+01,7.00E-17,,,,,,,,,,,,,,,,,,,
1.07E+01,1.13E-17,,,,,,,,,,,,,,,,,,,
1.07E+01,3.85E-17,,,,,,,,,,,,,,,,,,,
1.07E+01,4.94E-17,,,,,,,,,,,,,,,,,,,
1.07E+01,2.57E-17,,,,,,,,,,,,,,,,,,,
1.07E+01,9.99E-18,,,,,,,,,,,,,,,,,,,
1.07E+01,4.92E-17,,,,,,,,,,,,,,,,,,,
1.07E+01,2.98E-17,,,,,,,,,,,,,,,,,,,
1.08E+01,4.11E-17,,,,,,,,,,,,,,,,,,,
1.08E+01,3.62E-17,,,,,,,,,,,,,,,,,,,
1.08E+01,4.34E-17,,,,,,,,,,,,,,,,,,,
1.08E+01,2.40E-17,,,,,,,,,,,,,,,,,,,
1.08E+01,2.47E-17,,,,,,,,,,,,,,,,,,,
1.08E+01,5.13E-17,,,,,,,,,,,,,,,,,,,
1.08E+01,2.77E-17,,,,,,,,,,,,,,,,,,,
1.09E+01,1.13E-17,,,,,,,,,,,,,,,,,,,
1.09E+01,5.07E-17,,,,,,,,,,,,,,,,,,,
1.09E+01,2.22E-17,,,,,,,,,,,,,,,,,,,
1.09E+01,4.61E-17,,,,,,,,,,,,,,,,,,,
1.09E+01,2.74E-17,,,,,,,,,,,,,,,,,,,
1.09E+01,5.11E-17,,,,,,,,,,,,,,,,,,,
1.09E+01,1.88E-17,,,,,,,,,,,,,,,,,,,
1.10E+01,3.82E-18,,,,,,,,,,,,,,,,,,,
1.10E+01,1.77E-17,,,,,,,,,,,,,,,,,,,
1.10E+01,3.41E-17,,,,,,,,,,,,,,,,,,,
1.10E+01,2.44E-17,,,,,,,,,,,,,,,,,,,
1.10E+01,3.15E-17,,,,,,,,,,,,,,,,,,,
1.10E+01,2.40E-17,,,,,,,,,,,,,,,,,,,
1.10E+01,4.00E-17,,,,,,,,,,,,,,,,,,,
1.11E+01,2.42E-17,,,,,,,,,,,,,,,,,,,
1.11E+01,5.76E-17,,,,,,,,,,,,,,,,,,,
1.11E+01,4.48E-17,,,,,,,,,,,,,,,,,,,
1.11E+01,4.34E-17,,,,,,,,,,,,,,,,,,,
1.11E+01,2.12E-17,,,,,,,,,,,,,,,,,,,
1.11E+01,2.75E-17,,,,,,,,,,,,,,,,,,,
1.11E+01,5.62E-17,,,,,,,,,,,,,,,,,,,
1.12E+01,1.37E-17,,,,,,,,,,,,,,,,,,,
1.12E+01,3.75E-17,,,,,,,,,,,,,,,,,,,
1.12E+01,5.57E-17,,,,,,,,,,,,,,,,,,,
1.12E+01,4.47E-17,,,,,,,,,,,,,,,,,,,
1.12E+01,1.46E-17,,,,,,,,,,,,,,,,,,,
1.12E+01,3.69E-17,,,,,,,,,,,,,,,,,,,
1.12E+01,7.14E-17,,,,,,,,,,,,,,,,,,,
1.13E+01,1.69E-17,,,,,,,,,,,,,,,,,,,
1.13E+01,2.81E-17,,,,,,,,,,,,,,,,,,,
1.13E+01,4.57E-17,,,,,,,,,,,,,,,,,,,
1.13E+01,3.51E-17,,,,,,,,,,,,,,,,,,,
1.13E+01,2.33E-17,,,,,,,,,,,,,,,,,,,
1.13E+01,5.02E-17,,,,,,,,,,,,,,,,,,,
1.13E+01,2.31E-17,,,,,,,,,,,,,,,,,,,
1.14E+01,6.41E-17,,,,,,,,,,,,,,,,,,,
1.14E+01,4.74E-17,,,,,,,,,,,,,,,,,,,
1.14E+01,7.78E-17,,,,,,,,,,,,,,,,,,,
1.14E+01,7.99E-17,,,,,,,,,,,,,,,,,,,
1.14E+01,6.48E-17,,,,,,,,,,,,,,,,,,,
1.14E+01,4.94E-17,,,,,,,,,,,,,,,,,,,
1.14E+01,2.60E-17,,,,,,,,,,,,,,,,,,,
1.15E+01,1.68E-17,,,,,,,,,,,,,,,,,,,
1.15E+01,3.90E-17,,,,,,,,,,,,,,,,,,,
1.15E+01,3.26E-17,,,,,,,,,,,,,,,,,,,
1.15E+01,7.33E-17,,,,,,,,,,,,,,,,,,,
1.15E+01,7.82E-17,,,,,,,,,,,,,,,,,,,
1.15E+01,5.52E-17,,,,,,,,,,,,,,,,,,,
1.15E+01,7.83E-17,,,,,,,,,,,,,,,,,,,
1.16E+01,4.27E-17,,,,,,,,,,,,,,,,,,,
1.16E+01,3.41E-17,,,,,,,,,,,,,,,,,,,
1.16E+01,4.05E-17,,,,,,,,,,,,,,,,,,,
1.16E+01,4.74E-17,,,,,,,,,,,,,,,,,,,
1.16E+01,3.61E-17,,,,,,,,,,,,,,,,,,,
1.16E+01,2.76E-17,,,,,,,,,,,,,,,,,,,
1.16E+01,2.26E-17,,,,,,,,,,,,,,,,,,,
1.17E+01,6.84E-17,,,,,,,,,,,,,,,,,,,
1.17E+01,4.06E-17,,,,,,,,,,,,,,,,,,,
1.17E+01,2.11E-17,,,,,,,,,,,,,,,,,,,
1.17E+01,1.81E-17,,,,,,,,,,,,,,,,,,,
1.17E+01,5.86E-17,,,,,,,,,,,,,,,,,,,
1.17E+01,7.71E-17,,,,,,,,,,,,,,,,,,,
1.17E+01,2.53E-17,,,,,,,,,,,,,,,,,,,
1.18E+01,1.20E-17,,,,,,,,,,,,,,,,,,,
